,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
75,J1526-2050/P231–20/J231.6-20.83,"Mazzucchelli et al. (2017), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1710.01251, https://arxiv.org/pdf/2306.16474",PSO,15:26:37.841,-20:50:00.66,,6.5864,0.0005,0.0005,3.311e9,3.195e8,2.914e8,2.291e47,2.210e46,2.016e46,0.532178,0.072611,0.066222,-27.14,,,,,,,,,,,,,,,"mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
76,J0706+2921,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,07:06:26.38,+29:21:05.50,,6.6037,0.0003,0.0003,2.11e9,0.16e9,0.16e9,33.9e46,1.5e46,1.5e46,1.3,0.1,0.1,-27.51,0.08,0.08,,,,129-808,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019), additional information here: https://arxiv.org/pdf/2306.16474  Mazzucchelli et al. (2023)"
77,J1135+5011,"Yang et al. (2021), Wang et al. (2024), Wang et al. (2019)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf",DELS,11:35:08.92,+50:11:32.60,,6.5851,0.0008,0.0008,1.49e9,0.05e9,0.05e9,10.8e46,0.8e46,0.8e46,0.6,0.1,0.1,-26.19,0.17,0.17,,,,107-669,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Wang et al. (2019)"
78,J0921+0007,"Yang et al. (2021), Matsuoka et al. (2018), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/pdf/1803.01861, https://arxiv.org/html/2404.15413v1#S1",HSC,09:21:20.56,+00:07:22.90,,6.5646,0.0003,0.0003,0.26e9,0.01e9,0.01e9,6.1e46,0.6e46,0.6e46,1.9,0.2,0.2,-24.79,0.10,0.10,,,,62-389,,,,,,,,,"coordinates, SFR_CII from Wang et al. (2024), M1450 from Matsuoka et al. (2018)"
79,J0226+0302/J036.5+03.04,"Banados et al. (2016), Mazzucchelli et al. (2017), Wang et al. (2019), D'Odorico et al. (2023)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/aa9185/pdf, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://academic.oup.com/mnras/article/523/1/1399/7172883",PSO,02:26:01.87,+03:02:59.42,,6.5405,0.0001,0.0001,2.692e9,5.444e8,5.536e8,3.162e47,3.051e46,3.439e46,0.903767,0.202531,0.166613,-27.18,0.12,0.12,,,,,,,,,,,,,"L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2017), M1450 from Wang et al. (2019), z, mass from D'Odorico et al. (2023)"
80,J0224-4711,"Reed et al. (2019), Wang et al. (2024)","https://academic.oup.com/mnras/article/487/2/1874/5505847, https://arxiv.org/html/2404.15413v1#S1",VDES,02:24:26.54,-47:11:29.40,,6.526,0.0003,0.0003,2.12e9,0.42e9,0.42e9,3.13e47,0.04e47,0.04e47,1.13,0.22,0.22,-26.72,0.05,0.05,,,,370-2316,,,,,,,,,"SFR_CII from Wang et al. (2024), additional information here: https://arxiv.org/pdf/2306.16474  Mazzucchelli et al. (2023)"
81,J0439+1634,"Yang et al. (2021), Wang et al. (2024)","https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32, https://arxiv.org/html/2404.15413v1#S1",UHS,04:39:47.10,+16:34:15.80,,6.5188,0.0004,0.0004,0.63e9,0.02e9,0.02e9,4.6e46,0.1e46,0.1e46,0.6,0.1,0.1,-25.31,,,,,,,,,,,,,,,"coordinates from Wang et al. (2024), additional information here: https://arxiv.org/pdf/2306.16474  Mazzucchelli et al. (2023)"
82,J1110-1329/J167.6-13.49,"Banados et al. (2016), Decarli et al. (2018), Mazzucchelli et al. (2017)","https://arxiv.org/pdf/1608.03279, https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa, https://arxiv.org/pdf/1710.01251",PSO,11:10:33.976,-13:29:45.60,,6.508,0.001,0.001,0.30e9,0.08e9,0.12e9,0.47e47,0.16e47,0.22e47,1.20513,0.52114,0.742014,-25.62,,,,,,,,,,,,,,,"coordinates, z errors from Decarli et al. (2018), mass, L_bol, (recalaculated using formula [2]) f_Edd from Mazzucchelli et al. (2017)"
83,J1545+4232,"Matsuoka et al. (2018), Ishimoto et al. (2020)","https://arxiv.org/pdf/1803.01861, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,15:45:05.62,+42:32:11.60,,6.511,0.003,0.004,3.314e8,5.618e7,4.804e7,4.786e44,3.423e43,3.195e43,,,,-24.76,0.17,0.17,,,,,,,,,,,,,"z, M1450 from Ishimoto et al. (2020), mass using formula [1]"
84,J1350-0027,Matsuoka et al. (2019),https://arxiv.org/pdf/1908.07910,HSC,13:50:12.04,-00:27:05.20,,6.49,,,2.336e8,4.467e7,3.750e7,,,,,,,-24.38,0.19,0.19,,,,,,,,,,,,,mass using formula [1]
85,J1629+2407/J247.2+24.12,Mazzucchelli et al. (2017),https://arxiv.org/pdf/1710.01251,PSO,16:29:11.296,+24:07:39.74,,6.476,0.004,0.004,0.52e9,0.22e9,0.25e9,1.77e47,0.06e47,0.76e47,2.61834,1.11131,1.68778,-26.53,,,,,,,,,,,,,,,f_Edd recalculated using formula [2]
86,J2131-4359,Yang et al. (2019),https://iopscience.iop.org/article/10.3847/1538-3881/ab1be1/meta,DES,21:31:10.29,-43:59:02.50,,6.45,,,3.876e8,1.004e8,7.972e7,,,,,,,-24.93,0.25,0.25,,,,,,,,,,,,,mass using formula [1]
87,J1724+1901/J261+19/J261.0+19.02,"Mazzucchelli et al. (2017), Wang et al. (2019), Eilers et al. (2020)","https://arxiv.org/pdf/1710.01251, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://arxiv.org/pdf/2002.01811",PSO,17:24:08.743,+19:01:43.12,,6.494,0.011,0.007,6.613e8,1.265e8,1.062e8,4.898e46,,,0.80,0.12,0.12,-25.51,0.19,0.19,,,,,,,,,,,,,"M1450 from Wang et al. (2019), z, L_bol, f_Edd from Eilers et al. (2020), mass using formula [1]"
88,J1212+0505/P183+05/J183.1+05.09,"Mazzucchelli et al. (2017), Wang et al. (2019), Mazzucchelli et al. (2023)","https://arxiv.org/pdf/1710.01251, https://iopscience.iop.org/article/10.3847/1538-4357/ab2be5/pdf, https://arxiv.org/pdf/2306.16474",PSO,12:12:26.981,+05:05:33.49,,6.4386,0.0004,0.0004,2.570e9,1.598e9,1.570e9,1.585e47,7.060e46,6.936e46,0.474304,0.362793,0.356458,-26.80,0.10,0.10,,,,,,,,,,,,,"M1450 from Wang et al. (2019), mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
89,J2318-3113,Decarli et al. (2018),https://iopscience.iop.org/article/10.3847/1538-4357/aaa5aa,VIK,23:18:18.351,-31:13:46.35,,6.444,0.005,0.005,1.149e9,,,,,,,,,-26.11,,,,,,,,,,,,,,,mass using formula [1]
